year,region,country,happiness_rank,happiness_score,social_support,health_life_expectancy,generosity,freedom_to_make_life_choices,economy_gdp_per_capita,perceptions_of_corruption
2019,Southeastern Asia,Malaysia,80,5.339,1.171,0.828,0.26,0.508,1.221,0.024
2019,Central and Eastern Europe,Belarus,81,5.323,1.465,0.789,0.094,0.235,1.067,0.142
2019,Western Europe,Greece,82,5.287,1.156,0.999,0.0,0.067,1.181,0.034
2019,Eastern Asia,Mongolia,83,5.285,1.531,0.667,0.235,0.317,0.948,0.038
2019,Central and Eastern Europe,North Macedonia,84,5.274,1.294,0.838,0.185,0.345,0.983,0.034
2019,Sub-Saharan Africa,Nigeria,85,5.265,1.111,0.245,0.215,0.426,0.696,0.041
2019,Southern Asia,Kyrgyzstan,86,5.261,1.438,0.723,0.3,0.508,0.551,0.023
2019,Southern Asia,Turkmenistan,87,5.247,1.538,0.657,0.244,0.394,1.052,0.028
2019,Middle East and Northern Africa,Algeria,88,5.211,1.16,0.785,0.073,0.086,1.002,0.114
2019,Middle East and Northern Africa,Morocco,89,5.208,0.782,0.782,0.036,0.418,0.801,0.076
2019,Middle East and Northern Africa,Azerbaijan,90,5.208,1.147,0.769,0.035,0.351,1.043,0.182
2019,Middle East and Northern Africa,Lebanon,91,5.197,1.224,0.815,0.166,0.216,0.987,0.027
2019,Southeastern Asia,Indonesia,92,5.192,1.203,0.66,0.498,0.491,0.931,0.028
2019,Eastern Asia,China,93,5.191,1.125,0.893,0.058,0.521,1.029,0.1
2019,Southeastern Asia,Vietnam,94,5.175,1.346,0.851,0.147,0.543,0.741,0.073
2019,Southern Asia,Bhutan,95,5.082,1.321,0.604,0.37,0.457,0.813,0.167
2019,Sub-Saharan Africa,Cameroon,96,5.044,0.91,0.331,0.187,0.381,0.549,0.037
2019,Central and Eastern Europe,Bulgaria,97,5.011,1.513,0.815,0.081,0.311,1.092,0.004
2019,Sub-Saharan Africa,Ghana,98,4.996,0.868,0.486,0.245,0.381,0.611,0.04
2019,Sub-Saharan Africa,Ivory Coast,99,4.944,0.808,0.232,0.154,0.352,0.569,0.09
2019,Southern Asia,Nepal,100,4.913,1.226,0.677,0.285,0.439,0.446,0.089
2019,Middle East and Northern Africa,Jordan,101,4.906,1.225,0.815,0.11,0.383,0.837,0.13
2019,Sub-Saharan Africa,Benin,102,4.883,0.437,0.397,0.175,0.349,0.393,0.082
2019,Sub-Saharan Africa,Congo (Brazzaville),103,4.812,0.799,0.508,0.105,0.372,0.673,0.093
2019,Sub-Saharan Africa,Gabon,104,4.799,1.183,0.571,0.043,0.295,1.057,0.055
2019,Southeastern Asia,Laos,105,4.796,1.03,0.551,0.266,0.547,0.764,0.164
2019,Sub-Saharan Africa,South Africa,106,4.722,1.351,0.469,0.13,0.389,0.96,0.055
2019,Central and Eastern Europe,Albania,107,4.719,0.848,0.874,0.178,0.383,0.947,0.027
2019,Latin America and Caribbean,Venezuela,108,4.707,1.427,0.805,0.064,0.154,0.96,0.047
2019,Southeastern Asia,Cambodia,109,4.7,1.122,0.637,0.232,0.609,0.574,0.062
2019,Middle East and Northern Africa,Palestinian Territories,110,4.696,1.247,0.672,0.103,0.225,0.657,0.066
2019,Sub-Saharan Africa,Senegal,111,4.681,1.134,0.571,0.153,0.292,0.45,0.072
2019,Sub-Saharan Africa,Somalia,112,4.668,0.698,0.268,0.243,0.559,0.0,0.27
2019,Sub-Saharan Africa,Namibia,113,4.639,1.313,0.477,0.07,0.401,0.879,0.056
2019,Sub-Saharan Africa,Niger,114,4.628,0.774,0.366,0.188,0.318,0.138,0.102
2019,Sub-Saharan Africa,Burkina Faso,115,4.587,1.056,0.38,0.177,0.255,0.331,0.113
2019,Middle East and Northern Africa,Armenia,116,4.559,1.055,0.815,0.095,0.283,0.85,0.064
2019,Middle East and Northern Africa,Iran,117,4.548,0.842,0.785,0.27,0.305,1.1,0.125
2019,Sub-Saharan Africa,Guinea,118,4.534,0.829,0.375,0.207,0.332,0.38,0.086
2019,Middle East and Northern Africa,Georgia,119,4.519,0.666,0.752,0.043,0.346,0.886,0.164
2019,Sub-Saharan Africa,Gambia,120,4.516,0.939,0.428,0.269,0.382,0.308,0.167
2019,Sub-Saharan Africa,Kenya,121,4.509,0.983,0.581,0.372,0.431,0.512,0.053
2019,Sub-Saharan Africa,Mauritania,122,4.49,1.167,0.489,0.106,0.066,0.57,0.088
2019,Sub-Saharan Africa,Mozambique,123,4.466,0.986,0.39,0.197,0.494,0.204,0.138
2019,Middle East and Northern Africa,Tunisia,124,4.461,1.0,0.815,0.059,0.167,0.921,0.055
2019,Southern Asia,Bangladesh,125,4.456,0.928,0.723,0.166,0.527,0.562,0.143
2019,Middle East and Northern Africa,Iraq,126,4.437,0.98,0.574,0.148,0.241,1.043,0.089
2019,Sub-Saharan Africa,Congo (Kinshasa),127,4.418,1.125,0.357,0.212,0.269,0.094,0.053
2019,Sub-Saharan Africa,Mali,128,4.39,1.105,0.308,0.153,0.327,0.385,0.052
2019,Sub-Saharan Africa,Sierra Leone,129,4.374,0.841,0.242,0.252,0.309,0.268,0.045
2019,Southern Asia,Sri Lanka,130,4.366,1.265,0.831,0.244,0.47,0.949,0.047
2019,Southeastern Asia,Myanmar,131,4.36,1.181,0.555,0.566,0.525,0.71,0.172
2019,Sub-Saharan Africa,Chad,132,4.35,0.766,0.192,0.198,0.174,0.35,0.078
2019,Central and Eastern Europe,Ukraine,133,4.332,1.39,0.739,0.187,0.178,0.82,0.01
2019,Sub-Saharan Africa,Ethiopia,134,4.286,1.033,0.532,0.209,0.344,0.336,0.1
2019,Sub-Saharan Africa,Swaziland,135,4.212,1.149,0.0,0.074,0.313,0.811,0.135
2019,Sub-Saharan Africa,Uganda,136,4.189,1.069,0.443,0.252,0.356,0.332,0.06
2019,Middle East and Northern Africa,Egypt,137,4.166,1.039,0.644,0.076,0.241,0.913,0.067
2019,Sub-Saharan Africa,Zambia,138,4.107,1.058,0.426,0.247,0.431,0.578,0.087
2019,Sub-Saharan Africa,Togo,139,4.085,0.572,0.41,0.177,0.293,0.275,0.085
2019,Southern Asia,India,140,4.015,0.765,0.588,0.2,0.498,0.755,0.085
2019,Sub-Saharan Africa,Liberia,141,3.975,0.922,0.443,0.233,0.37,0.073,0.033
2019,Sub-Saharan Africa,Comoros,142,3.973,0.757,0.505,0.275,0.142,0.274,0.078
2019,Sub-Saharan Africa,Madagascar,143,3.933,0.916,0.555,0.169,0.148,0.274,0.041
2019,Sub-Saharan Africa,Lesotho,144,3.802,1.169,0.168,0.107,0.359,0.489,0.093
2019,Sub-Saharan Africa,Burundi,145,3.775,0.447,0.38,0.176,0.22,0.046,0.18
2019,Sub-Saharan Africa,Zimbabwe,146,3.663,1.114,0.433,0.151,0.361,0.366,0.089
2019,Latin America and Caribbean,Haiti,147,3.597,0.688,0.449,0.419,0.026,0.323,0.11
2019,Sub-Saharan Africa,Botswana,148,3.488,1.145,0.538,0.025,0.455,1.041,0.1
2019,Middle East and Northern Africa,Syria,149,3.462,0.378,0.44,0.331,0.013,0.619,0.141
2019,Sub-Saharan Africa,Malawi,150,3.41,0.56,0.495,0.218,0.443,0.191,0.089
2019,Middle East and Northern Africa,Yemen,151,3.38,1.163,0.463,0.108,0.143,0.287,0.077
2019,Sub-Saharan Africa,Rwanda,152,3.334,0.711,0.614,0.217,0.555,0.359,0.411
2019,Sub-Saharan Africa,Tanzania,153,3.231,0.885,0.499,0.276,0.417,0.476,0.147
2019,Southern Asia,Afghanistan,154,3.203,0.517,0.361,0.158,0.0,0.35,0.025
2019,Sub-Saharan Africa,Central African Republic,155,3.083,0.0,0.105,0.235,0.225,0.026,0.035
2019,Sub-Saharan Africa,South Sudan,156,2.853,0.575,0.295,0.202,0.01,0.306,0.091
